TEAM ID,TIME STAMPING,PACKET COUNT,ALTITUDE,PRESSURE,TEMP,VOLTAGE,GNSS TIME,GNSS LATITUDE,GNSS LONGITUDE,GNSS ALTITUDE,GNSS SATS,ACCELEROMETER DATA,GYRO SPIN RATE,FLIGHT SOFTWARE STATE,ANY OPTIONAL DATA
2026 IN-SPACe-PVC,0.26,0,0.0315798,101325,25,7.4,0,0,0,0.0215861,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,0.52,1,0.0280663,101325,25,7.4,0,0,0,0.000943154,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,0.78,2,0.0827156,101325,25,7.4,0,0,0,0.0524013,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,1.04,3,-0.0670131,101325,25,7.4,0,0,0,-0.0151659,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,1.3,4,-0.04509,101325,25,7.4,0,0,0,-0.0222153,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,1.56,5,-0.0638439,101325,25,7.4,0,0,0,-0.0535807,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,1.82,6,0.0223282,101325,25,7.4,0,0,0,0.017938,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,2.08,7,0.00891915,101325,25,7.4,0,0,0,-0.0289651,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,2.34,8,0.0386966,101325,25,7.4,0,0,0,0.0019867,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,2.6,9,0.00320031,101325,25,7.4,0,0,0,-0.0467646,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,2.86,10,-0.00871712,101325,25,7.4,0,0,0,-0.0520031,8,0,0,TEST_MODE,Grounded
2026 IN-SPACe-PVC,3.12,11,-0.00657399,101325,25,7.4,0,0,0,0.038187,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,3.38,12,0.0640764,101325,25,7.4,0,0,0,0.0468231,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,3.64,13,-0.0082921,101325,25,7.4,0,0,0,0.000434106,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,3.9,14,-0.0236497,101325,25,7.4,0,0,0,-0.067257,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,4.16,15,-0.00141647,101325,25,7.4,0,0,0,-0.0591996,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,4.42,16,0.0271821,101325,25,7.4,0,0,0,-0.0177418,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,4.68,17,-0.00742318,101325,25,7.4,0,0,0,0.0719965,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,4.94,18,0.0573136,101325,25,7.4,0,0,0,0.0615013,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,5.2,19,0.0337457,101325,25,7.4,0,0,0,-0.00461117,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,5.46,20,-0.0494928,101325,25,7.4,0,0,0,-0.0189981,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,5.72,21,-0.00791869,101325,25,7.4,0,0,0,-0.00840021,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,5.98,22,0.0370053,101325,25,7.4,0,0,0,-0.0212094,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,6.24,23,-0.00798567,101325,25,7.4,0,0,0,0.0369317,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,6.49999,24,-0.0774088,101325,25,7.4,0,0,0,-0.08166,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,6.75999,25,0.0317777,101325,25,7.4,0,0,0,0.072153,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,7.01999,26,-0.0479892,101325,25,7.4,0,0,0,-0.068689,8,0,0,Prelaunch_Check,Grounded
2026 IN-SPACe-PVC,7.27999,27,-0.0169813,101325,25,7.4,0,0,0,-0.0176627,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,7.53999,28,-0.0187459,101325,25,7.4,0,0,0,-0.0206162,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,7.79999,29,0.0515614,101325,25,7.4,0,0,0,0.00194591,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,8.05999,30,-0.0560586,101325,25,7.4,0,0,0,-0.00111023,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,8.32,31,0.060672,101325,25,7.4,0,0,0,0.0373259,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,8.58001,32,-0.0396024,101325,25,7.4,0,0,0,0.000347879,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,8.84001,33,0.0312063,101325,25,7.4,0,0,0,-0.0114666,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,9.10002,34,-0.00964472,101325,25,7.4,0,0,0,-0.00896497,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,9.36002,35,0.0317363,101325,25,7.4,0,0,0,0.067545,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,9.62003,36,-0.0605223,101325,25,7.4,0,0,0,-0.0175291,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,9.88004,37,-0.0525367,101325,25,7.4,0,0,0,-0.0584819,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,10.14,38,0.0536134,101325,25,7.4,0,0,0,0.0129617,8,0,0,Launch_Pad,Grounded
2026 IN-SPACe-PVC,10.4,39,-0.0191459,101325,25,7.4,0,0,0,0.0315195,8,0,0,Launch_Pad,Grounded
