timestamp,raw_packet
2026-06-05T10:24:22Z,"1,TELEMETRY,0,0.00,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,0,35.333100,-117.803000,8,9.87,0.02,Boot,Boot,105"
2026-06-05T10:24:23Z,"1,TELEMETRY,1,0.25,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,0,35.333100,-117.803000,0.00,8,9.73,Boot,Boot,100"
2026-06-05T10:24:23Z,"TELEMETRY,2,0.50,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,0,35.333100,-117.803000,0.00,8,9.72,0.01,Boot,Boot,103"
2026-06-05T10:24:23Z,"1,TELEMETRY,4,1.00,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,1,35.333100,-117.803000,0.00,8,9.75,0.02,Boot,Boot,96"
2026-06-05T10:24:23Z,"1,TELEMETRY,5,1.25,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,1,35.333100,-117.803000,0.00,8,9.81,0.03,Boot,Boot,108"
2026-06-05T10:24:23Z,"1,TELEMETRY,6,1.50,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,1,35.333100,-117.803000,0.00,8,9.88,0.02,Boot,Boot,101"
2026-06-05T10:24:24Z,"1,TELEMETRY,7,1.75,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,1,35.333100,-117.803000,0.00,8,9.84,0.03,Boot,Boot,110"
2026-06-05T10:24:24Z,"1,TELEMETRY,8,2.00,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,2,35.333100,-117.803000,0.00,8,9.76,0.03,Boot,Boot,110"
2026-06-05T10:24:24Z,"1,TELEMETRY,9,2.25,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,2,35.333100,-117.803000,0.00,8,9.83,0.03,Boot,Boot,98"
2026-06-05T10:24:24Z,!!!CORRUPTED_PAYLOAD!!!
2026-06-05T10:24:25Z,"1,TELEMETRY,11,2.75,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,2,35.333100,-117.803000,0.00,8,9.85,0.01,Boot,Boot,90"
2026-06-05T10:24:25Z,"1,TELEMETRY,12,3.00,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,3,35.333100,-117.803000,0.00,8,9.76,0.01,Boot,Boot,87"
2026-06-05T10:24:25Z,"1,TELEMETRY,13,3.25,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,3,35.333100,-117.803000,0.00,8,9.75,0.03,Boot,Boot,80"
2026-06-05T10:24:26Z,"1,TELEMETRY,14,3.50,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,3,35.333100,-117.803000,0.00,8,9.83,0.03,Boot,Boot,92"
2026-06-05T10:24:26Z,"1,TELEMETRY,15,3.75,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,3,35.333100,-117.803000,0.00,8,9.79,0.03,Boot,Boot,95"
2026-06-05T10:24:26Z,"1,TELEMETRY,16,4.00,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,4,35.333100,-117.803000,0.00,8,9.76,0.02,Boot,Boot,80"
2026-06-05T10:24:26Z,"1,TELEMETRY,17,4.25,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,4,35.333100,-117.803000,0.00,8,9.91,0.02,Boot,Boot,95"
2026-06-05T10:24:26Z,"1,TELEMETRY,18,4.50,BOOT,BOOT,0.00,0.00,0.00,0,0,0,101325.00,24.80,11.40,4,35.333100,-117.803000,0.00,8,9.86,0.02,Boot,Boot,84"
2026-06-05T10:24:27Z,"1,TELEMETRY,19,4.75,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,4,35.333100,-117.803000,0.00,8,9.87,0.01,Boot,Boot,228"
2026-06-05T10:24:27Z,"1,TELEMETRY,20,5.00,BOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,5,35.333100,-117.803000,0.00,8,9.75,0.03,Boot,Boot,87"
2026-06-05T10:24:27Z,"1,TELEMETRY,21,5.25HBOOT,BOOT,0.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,5,35.333100,-117.803000,0.00,8,9.91,0.03,Boot,Boot,91"
2026-06-05T10:24:28Z,"1,TELEMETRY,22,5.50,BOOT,BOOT,B.00,0.00,0.00,0,0,0,0,101325.00,24.80,11.40,5,35.333100,-117.803000,0.00,8,9.91,0.02,Boot,Boot,91"
2026-06-05T10:24:28Z,"1,TELEMETRY,23,5.75,BOOT,BOOT,0.00,0.00,0.00,0<0,0,0,101325.00,24.80,11.40,5,35.333100,-117.803000,0.00,8,9.87,0.02,Boot,Boot,90"
